zip,lat,lng,city,timezone
80002,39.79405,-105.10845,Arvada,America/Denver
80003,39.827,-105.06412,Arvada,America/Denver
80004,39.81443,-105.12293,Arvada,America/Denver
80005,39.85053,-105.13031,Arvada,America/Denver
80007,39.8665,-105.19875,Arvada,America/Denver
80010,39.73979,-104.86193,Aurora,America/Denver
80011,39.74393,-104.78994,Aurora,America/Denver
80012,39.69976,-104.83784,Aurora,America/Denver
80013,39.66145,-104.76577,Aurora,America/Denver
80014,39.66353,-104.83781,Aurora,America/Denver
80015,39.62737,-104.79497,Aurora,America/Denver
80016,39.59391,-104.72311,Aurora,America/Denver
80017,39.69914,-104.7735,Aurora,America/Denver
80018,39.69071,-104.68096,Aurora,America/Denver
80019,39.78653,-104.6972,Aurora,America/Denver
80020,39.93121,-105.07407,Broomfield,America/Denver
80021,39.89105,-105.11448,Broomfield,America/Denver
80022,39.86448,-104.78868,Commerce City,America/Denver
80023,39.97407,-105.01011,Broomfield,America/Denver
80024,39.84403,-104.91842,Dupont,America/Denver
80025,39.92444,-105.29226,Eldorado Springs,America/Denver
80026,40.01188,-105.0985,Lafayette,America/Denver
80027,39.9508,-105.16354,Louisville,America/Denver
80030,39.83006,-105.03695,Westminster,America/Denver
80031,39.87522,-105.04039,Westminster,America/Denver
80033,39.77315,-105.10222,Wheat Ridge,America/Denver
80045,39.74702,-104.83843,Aurora,America/Denver
80101,39.42503,-103.95395,Agate,America/Denver
80102,39.73237,-104.43874,Bennett,America/Denver
80103,39.78035,-104.09576,Byers,America/Denver
80104,39.30213,-104.81967,Castle Rock,America/Denver
80105,39.62679,-103.96078,Deer Trail,America/Denver
80106,39.17646,-104.52975,Elbert,America/Denver
80107,39.41195,-104.57226,Elizabeth,America/Denver
80108,39.44441,-104.85321,Castle Rock,America/Denver
80109,39.36473,-104.90056,Castle Rock,America/Denver
80110,39.64612,-105.00928,Englewood,America/Denver
80111,39.6124,-104.88025,Englewood,America/Denver
80112,39.57288,-104.85854,Englewood,America/Denver
80113,39.64224,-104.96189,Englewood,America/Denver
80116,39.30711,-104.71947,Franktown,America/Denver
80117,39.37203,-104.39978,Kiowa,America/Denver
80118,39.19132,-104.8848,Larkspur,America/Denver
80120,39.5929,-105.00949,Littleton,America/Denver
80121,39.61045,-104.95421,Littleton,America/Denver
80122,39.5806,-104.95573,Littleton,America/Denver
80123,39.61578,-105.0692,Littleton,America/Denver
80124,39.53197,-104.89173,Lone Tree,America/Denver
80125,39.48546,-105.05737,Littleton,America/Denver
80126,39.54127,-104.96251,Littleton,America/Denver
80127,39.52249,-105.15773,Littleton,America/Denver
80128,39.56167,-105.07914,Littleton,America/Denver
80129,39.54521,-105.01203,Littleton,America/Denver
80130,39.52918,-104.92448,Littleton,America/Denver
80131,39.47627,-105.00899,Louviers,America/Denver
80132,39.09183,-104.8576,Monument,America/Denver
80133,39.1155,-104.90443,Palmer Lake,America/Denver
80134,39.48282,-104.77957,Parker,America/Denver
80135,39.27763,-105.13494,Sedalia,America/Denver
80136,39.80729,-104.29613,Strasburg,America/Denver
80137,39.70901,-104.59235,Watkins,America/Denver
80138,39.51649,-104.67114,Parker,America/Denver
80202,39.75156,-104.99768,Denver,America/Denver
